Aseguradora,Tarjeta,Poblacion,Telefono,Estado civil,Ficha,Cuota
Caser,5126794953653835,Madrid,16570817 4767,Viudo,02/16/2020,55
Adeslas,5286234390617461,Madrid,16920305 3930,Soltero,08/31/2020,53
DKV,5392431445593363,Madrid,16770201 0567,Casado,07/04/2020,54
Mapfre,5546828630711657,Madrid,16921115 2633,Soltero,08/04/2020,41
Mapfre,5390375101320656,Madrid,16480915 8399,Casado,04/14/2020,56
DKV,5158462250391712,Madrid,16540709 1486,Divorciado,02/07/2020,56
Mapfre,5303111085618773,Madrid,16660301 8125,Viudo,10/29/2020,57
Adeslas,5118861158254527,Madrid,16900806 5824,Casado,04/19/2020,43
Asisa,5486592596977718,Madrid,16331203 8668,Casado,04/29/2020,53
Adeslas,5219149418043197,Madrid,16441029 4369,Casado,03/11/2020,46
Adeslas,5108640728160782,Madrid,16110820 7331,Pareja de hecho,09/27/2020,53
Caser,5375498795693334,Madrid,16020830 7033,Casado,04/16/2020,51
DKV,5372482610808122,Madrid,16461217 8246,Pareja de hecho,06/02/2020,53
Mapfre,5223859677174673,Madrid,16301205 4064,Viudo,01/03/2020,49
DKV,5276099989295983,Madrid,16001217 6897,Pareja de hecho,04/04/2020,54
DKV,5513897550065047,Madrid,16510622 8397,Soltero,04/10/2020,50
Mapfre,5341036972051685,Madrid,16420525 9502,Pareja de hecho,05/02/2020,52
Asisa,5125046128767524,Madrid,16840620 8382,Viudo,07/09/2020,50
Asisa,5413662991980258,Madrid,16511030 1222,Pareja de hecho,04/15/2020,48
Caser,5130043660536402,Madrid,16900929 4761,Pareja de hecho,04/18/2020,51
Asisa,5336753633090467,Madrid,16540126 3099,Soltero,03/12/2020,43
Adeslas,5176266794985188,Madrid,16520827 8373,Divorciado,06/22/2020,46
Asisa,5273414502102595,Madrid,16731030 7033,Divorciado,07/07/2020,60
Asisa,5152402173598312,Madrid,16310130 9775,Soltero,10/23/2020,47
DKV,5549222558930944,Madrid,16770303 2040,Casado,05/23/2020,45
Adeslas,5584324004012214,Madrid,16941022 5883,Soltero,03/01/2020,61
Asisa,5232972740297923,Madrid,16020929 6912,Soltero,10/07/2020,55
Mapfre,5355132394406962,Madrid,16611023 7028,Divorciado,05/01/2020,54
Mapfre,5249709813391279,Madrid,16250604 6255,Casado,05/06/2020,58
Adeslas,5577893737154708,Madrid,16060910 0243,Soltero,04/25/2020,50
Caser,5408299439859237,Madrid,16150809 2358,Viudo,08/11/2020,52
DKV,5176988133704133,Madrid,16391025 1705,Pareja de hecho,02/02/2020,53
Mapfre,5533389614124479,Madrid,16830507 3028,Viudo,09/25/2020,49
Adeslas,5168145625354808,Madrid,16540517 1942,Viudo,04/22/2020,50
Mapfre,5124060125630875,Madrid,16531215 2860,Casado,09/18/2020,42
Adeslas,5315756532123292,Madrid,16190409 4552,Casado,01/03/2020,35
Mapfre,5411099952027435,Madrid,16890519 8472,Viudo,10/10/2020,43
Mapfre,5287695512936998,Madrid,16620728 4503,Divorciado,04/24/2020,41
Asisa,5516962581170575,Madrid,16351221 6684,Divorciado,10/09/2020,54
Caser,5544338214363612,Madrid,16120704 3256,Divorciado,05/30/2020,57
Caser,5501939614899674,Madrid,16810926 6992,Soltero,06/04/2020,51
Mapfre,5142794086650161,Madrid,16761103 3825,Casado,10/01/2020,54
Adeslas,5503752891044791,Madrid,16810429 7216,Pareja de hecho,08/10/2020,43
Mapfre,5244488385422953,Madrid,16141113 2234,Viudo,06/22/2020,49
Asisa,5565601611006884,Madrid,16310220 8463,Divorciado,03/10/2020,47
Asisa,5566828180470543,Madrid,16930111 1010,Divorciado,01/04/2020,50
Caser,5109724678587415,Madrid,16100502 3260,Soltero,02/03/2020,52
Caser,5350269887391833,Madrid,16011212 2007,Pareja de hecho,07/02/2020,52
Asisa,5367377800998260,Madrid,16990709 4503,Pareja de hecho,05/19/2020,50
Adeslas,5480215930357597,Madrid,16290408 9220,Casado,05/20/2020,43
Adeslas,5334001796655953,Madrid,16660906 0741,Pareja de hecho,09/09/2020,49
Mapfre,5382633110296022,Madrid,16250430 3427,Viudo,08/21/2020,50
DKV,5247515933815689,Madrid,16180301 6441,Divorciado,04/14/2020,50
Asisa,5454113730473569,Madrid,16401208 1362,Pareja de hecho,07/09/2020,57
Caser,5483561575172487,Madrid,16920808 5101,Divorciado,04/15/2020,47
Adeslas,5141283118606699,Madrid,16171019 9991,Soltero,07/21/2020,56
Caser,5427403427555453,Madrid,16131025 9435,Viudo,07/31/2020,57
Asisa,5373185602872340,Madrid,16780102 4550,Divorciado,01/23/2020,65
Caser,5382770638812532,Madrid,16890310 5974,Viudo,07/24/2020,46
Caser,5350580055118240,Madrid,16440723 8411,Pareja de hecho,03/30/2020,60
